timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674963030990,1063,User List,200,OK,Thread Group 1-155,text,true,,1562,134,4,4,https://random-data-api.com/api/v2/users,1063,0,695
1674963031290,1027,User List,200,OK,Thread Group 1-156,text,true,,1562,134,4,4,https://random-data-api.com/api/v2/users,1027,0,664
1674963031589,1099,User List,200,OK,Thread Group 1-157,text,true,,1570,134,4,4,https://random-data-api.com/api/v2/users,1099,0,732
1674963031879,984,User List,200,OK,Thread Group 1-158,text,true,,1549,134,4,4,https://random-data-api.com/api/v2/users,984,0,663
1674963032170,1071,User List,200,OK,Thread Group 1-159,text,true,,1566,134,4,4,https://random-data-api.com/api/v2/users,1071,0,710
1674963032469,1014,User List,200,OK,Thread Group 1-160,text,true,,1572,134,4,4,https://random-data-api.com/api/v2/users,1014,0,663
1674963032769,989,User List,200,OK,Thread Group 1-161,text,true,,1550,134,4,4,https://random-data-api.com/api/v2/users,989,0,641
1674963033069,1048,User List,200,OK,Thread Group 1-162,text,true,,1557,134,4,4,https://random-data-api.com/api/v2/users,1047,0,691
1674963033368,1056,User List,200,OK,Thread Group 1-163,text,true,,1555,134,4,4,https://random-data-api.com/api/v2/users,1056,0,677
1674963033668,1120,User List,200,OK,Thread Group 1-164,text,true,,1566,134,4,4,https://random-data-api.com/api/v2/users,1120,0,754
1674963033968,1049,User List,200,OK,Thread Group 1-165,text,true,,1573,134,4,4,https://random-data-api.com/api/v2/users,1048,0,721
1674963034268,1020,User List,200,OK,Thread Group 1-166,text,true,,1553,134,4,4,https://random-data-api.com/api/v2/users,1020,0,663
1674963034568,1303,User List,200,OK,Thread Group 1-167,text,true,,1545,134,5,5,https://random-data-api.com/api/v2/users,1303,0,655
1674963034869,1048,User List,200,OK,Thread Group 1-168,text,true,,1554,134,4,4,https://random-data-api.com/api/v2/users,1048,0,687
1674963035177,1028,User List,200,OK,Thread Group 1-169,text,true,,1561,134,4,4,https://random-data-api.com/api/v2/users,1027,0,680
1674963035476,977,User List,200,OK,Thread Group 1-170,text,true,,1591,134,4,4,https://random-data-api.com/api/v2/users,976,0,633
1674963035770,996,User List,200,OK,Thread Group 1-171,text,true,,1558,134,4,4,https://random-data-api.com/api/v2/users,996,0,642
1674963036068,1015,User List,200,OK,Thread Group 1-172,text,true,,1567,134,4,4,https://random-data-api.com/api/v2/users,1015,0,664
1674963036368,952,User List,200,OK,Thread Group 1-173,text,true,,1573,134,4,4,https://random-data-api.com/api/v2/users,952,0,630
